name,gender,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mette,K,897,760,810,765,757,727,629,647,626,556,491,440,380,308,265,227,171,135,121,72,79,49,40,22,21,18,12,14,8,6,6,6,9,3,0,3,0,0,0,0
Kim,K,4,0,12,23,14,12,9,9,8,11,6,0,5,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0
Kim,M,445,400,361,295,266,223,170,180,111,111,66,62,49,23,26,17,22,16,15,7,9,4,5,5,9,4,6,4,0,0,0,8,0,0,0,0,0,5,0,0
Anne,K,682,581,690,722,696,724,614,635,641,561,570,491,464,443,404,346,284,236,241,242,227,190,148,143,102,87,73,55,54,28,45,34,46,43,27,26,37,26,14,33
Helle,K,307,197,197,172,139,114,106,99,75,55,48,42,38,28,26,28,20,5,7,7,8,5,7,6,4,4,0,0,0,3,0,0,3,0,0,0,0,6,4,7
Louise,K,911,932,839,884,885,986,929,938,833,816,721,647,583,494,459,435,375,307,264,210,178,150,110,93,72,50,39,24,28,18,27,18,15,14,3,10,12,5,11,4
Camilla,K,757,821,844,1040,1116,1218,1271,1253,1124,1047,897,856,653,579,532,399,378,334,301,224,195,178,138,125,80,60,48,39,27,18,18,15,16,8,9,7,14,5,8,7
Susanne,K,98,101,65,84,72,63,49,27,28,32,25,23,28,13,8,5,3,7,0,3,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
Charlotte,K,318,352,344,385,337,309,323,310,255,235,201,146,142,121,88,75,56,41,36,23,24,18,18,22,7,6,3,7,8,3,7,8,0,9,13,10,0,5,8,9
Hanne,K,64,58,53,48,42,34,29,24,23,16,20,16,15,8,13,5,10,12,7,7,7,4,7,6,3,3,4,4,0,4,3,0,3,0,0,8,6,0,8,6
Lene,K,192,148,121,115,87,81,71,76,39,38,41,35,22,19,23,12,6,11,11,4,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Rikke,K,355,379,372,417,491,476,512,511,491,577,534,450,429,352,266,219,177,149,107,84,63,72,35,26,31,21,16,11,6,11,8,0,6,5,0,3,0,0,3,0
Marianne,K,155,133,119,109,91,91,77,80,72,48,40,31,24,25,22,17,8,9,9,7,7,6,4,3,4,4,3,0,4,3,0,3,0,4,0,0,0,0,0,0
Gitte,K,192,158,129,97,89,80,61,51,42,37,29,17,15,7,11,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
